10/4/2022;10.30h;;
10/4/2022;15.00h;;
10/4/2022;18.30h;;
10/4/2022;20.30h;;
10/4/2022;23.15h;;
11/4/2022;00.30h;;
11/4/2022;04.10h;;
;;;
11/4/2022;14.00h;;
11/4/2022;18.30h;;
11/4/2022;21.00h;;
11/4/2022;22.40h;;
11/4/2022;23.50h;;
12/4/2022;02.40h;;
12/4/2022;05.50h;;
12/4/2022;07.50h;;
;;;
12/4/2022;14.00h;;
12/4/2022;15.30h;;
12/4/2022;17.20h;;
12/4/2022;20.30h;;
12/4/2022;22.00h;;
12/4/2022;23.00h;;
13/4/2022;02.00h;;
13/4/2022;05.30h;;
13/4/2022;07.30h;;
;;;
13/4/2022;17.30h;;
13/4/2022;18.30h;;
13/4/2022;20.30h;;
13/4/2022;22.30h;;
13/4/2022;23.40h;;
;;;
14/4/2022;13.30h;;
14/4/2022;15.30h;;
14/4/2022;17.30h;;
14/4/2022;21.30h;;
15/4/2022;02.30h;;
15/4/2022;05.00h;;
15/4/2022;07.30h;;
;;;
15/4/2022;13.30h;;
15/4/2022;16.00h;;
15/4/2022;19.00h;;
15/4/2022;21.30h;;
15/4/2022;22.00h;;
15/4/2022;23.30h;;
16/4/2022;02.00h;;
16/4/2022;03.00h;;
16/4/2022;05.00h;;
;;;
16/4/2022;21.30h;;
16/4/2022;23.50h;;
17/4/2022;03.00h;;
17/4/2022;07.30h;;
;;;
17/4/2022;17.30h;;
17/4/2022;20.30h;;
17/4/2023;21.40h;;
18/4/2022;00.30h;;
18/4/2022;03.30h;;
18/4/2022;06.00h;;
18/4/2022;07.30h;;
18/4/2022;09.15h;;
18/4/2022;13.00h;;
18/4/2022;16.00h;;
18/4/2022;18.00h;;
;;;
19/4/2022;05.15h;;
19/4/2022;07.00h;;
19/4/2022;08.15h;;
19/4/2022;10.15h;;
19/4/2022;13.30h;;
19/4/2022;19.00h;;
19/4/2022;21.30h;;
19/4/2022;23.30h;;
20/4/2022;01.00h;;
;;;
20/4/2022;13.30h;;
20/4/2022;16.00h;;
20/4/2022;18.30h;;
20/4/2022;20.00h;;
20/4/2022;21.30h;;
21/4/2022;00.30h;;
21/4/2022;02.20h;;
21/4/2022;04.30h;;
21/4/2022;05.30h;;
;;;
21/4/2022;12.00h;;
21/4/2022;13.30h;;
21/4/2022;14.30h;;
21/4/2022;17.00h;;
21/4/2022;19.00h;;
21/4/2022;22.15h;;
22/4/2022;00.30h;;
22/4/2022;02.15h;;
;;;
22/4/2022;13.30h;;
22/4/2022;16.00h;;
22/4/2022;18.00h;;
22/4/2022;21.00h;;
22/4/2022;22.30h;;
23/4/2022;01.30h;;
23/4/2022;03.30h;;
;;;
24/4/2022;05.00h;;
24/4/2022;06.30h;;
24/4/2022;08.00h;;
24/4/2022;09.00h;;
24/4/2022;12.30h;;
24/4/2022;17.40h;;
24/4/2022;19.00h;;
24/4/2022;21.30h;;
24/4/2022;23.30h;;
;;;
25/4/2022;08.30h;;
25/4/2022;11.15h;;
25/4/2022;12.00h;;
25/4/2022;13.45h;;
25/4/2022;16.30h;;
25/4/2022;19.30h;;
25/4/2022;21.00h;;
25/4/2022;22.30h;;
;;;
26/4/2022;04.30h;;
26/4/2022;05.30h;;
26/4/2022;09.00h;;
26/4/2022;10.45h;;
26/4/2022;12.00h;;
26/4/2022;14.00h;;
26/4/2022;17.45h;;
;;;
27/4/2022;08.30h;;
27/4/2022;13.00h;;
27/4/2022;14.00h;;
27/4/2022;17.00h;;
27/4/2022;19.00h;;
27/4/2022;21.00h;;
27/4/2022;22.30h;;
27/4/2022;23.30h;;
;;;
28/4/2022;12.00h;;
28/4/2022;13.00h;;
28/4/2022;17.30h;;
28/4/2022;18.30h;;
28/4/2022;20.00h;;
28/4/2022;23.30h;;
;;;
28/4/2022;09.00h;;
28/4/2022;11.00h;;
28/4/2022;13.00h;;
28/4/2022;14.30h;;
29/4/2022;19.40h;;
29/4/2022;20.50h;;
